scenario,seed,candidate,vehicles_entered_fixed,vehicles_entered_candidate,vehicles_entered_pct,vehicles_entered_verdict,vehicles_rejected_fixed,vehicles_rejected_candidate,vehicles_rejected_pct,vehicles_rejected_verdict,vehicles_exited_fixed,vehicles_exited_candidate,vehicles_exited_pct,vehicles_exited_verdict,throughput_per_hour_fixed,throughput_per_hour_candidate,throughput_per_hour_pct,throughput_per_hour_verdict,total_waiting_time_fixed,total_waiting_time_candidate,total_waiting_time_pct,total_waiting_time_verdict,average_queue_length_fixed,average_queue_length_candidate,average_queue_length_pct,average_queue_length_verdict,max_queue_length_fixed,max_queue_length_candidate,max_queue_length_pct,max_queue_length_verdict,final_queue_total_fixed,final_queue_total_candidate,final_queue_total_pct,final_queue_total_verdict,total_blocked_fixed,total_blocked_candidate,total_blocked_pct,total_blocked_verdict
low,0,adaptive,9613.382540176844,9613.382540176844,0.0,same,0.0,0.0,,same,9496.02126050233,9496.02126050233,0.0,same,4748.010630251165,4748.010630251165,0.0,same,687584.3342325444,687584.3342325444,0.0,same,3.9790760082901877,3.9790760082901877,0.0,same,9.999543697186333,9.999543697186333,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,0,adaptive_dwell2,9613.382540176844,9613.382540176844,0.0,same,0.0,0.0,,same,9496.02126050233,9496.02126050233,0.0,same,4748.010630251165,4748.010630251165,0.0,same,687584.3342325444,687584.3342325444,0.0,same,3.9790760082901877,3.9790760082901877,0.0,same,9.999543697186333,9.999543697186333,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,1,adaptive,9540.046786304092,9540.046786304092,0.0,same,0.0,0.0,,same,9432.364269953585,9432.364269953585,0.0,same,4716.182134976792,4716.182134976792,0.0,same,681368.1028356531,681368.1028356531,0.0,same,3.943102446965585,3.943102446965585,0.0,same,9.99234157252339,9.99234157252339,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,1,adaptive_dwell2,9540.046786304092,9540.046786304092,0.0,same,0.0,0.0,,same,9432.364269953585,9432.364269953585,0.0,same,4716.182134976792,4716.182134976792,0.0,same,681368.1028356531,681368.1028356531,0.0,same,3.943102446965585,3.943102446965585,0.0,same,9.99234157252339,9.99234157252339,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,2,adaptive,9552.042889605384,9552.042889605384,0.0,same,0.0,0.0,,same,9440.494237187824,9440.494237187824,0.0,same,4720.247118593912,4720.247118593912,0.0,same,683582.8798911057,683582.8798911057,0.0,same,3.955919443814269,3.955919443814269,0.0,same,9.99773301492282,9.99773301492282,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,2,adaptive_dwell2,9552.042889605384,9552.042889605384,0.0,same,0.0,0.0,,same,9440.494237187824,9440.494237187824,0.0,same,4720.247118593912,4720.247118593912,0.0,same,683582.8798911057,683582.8798911057,0.0,same,3.955919443814269,3.955919443814269,0.0,same,9.99773301492282,9.99773301492282,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,3,adaptive,9577.44809841183,9577.44809841183,0.0,same,0.0,0.0,,same,9463.229123188281,9463.229123188281,0.0,same,4731.6145615941405,4731.6145615941405,0.0,same,685437.0409325177,685437.0409325177,0.0,same,3.9666495424335517,3.9666495424335517,0.0,same,9.998246068107475,9.998246068107475,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,3,adaptive_dwell2,9577.44809841183,9577.44809841183,0.0,same,0.0,0.0,,same,9463.229123188281,9463.229123188281,0.0,same,4731.6145615941405,4731.6145615941405,0.0,same,685437.0409325177,685437.0409325177,0.0,same,3.9666495424335517,3.9666495424335517,0.0,same,9.998246068107475,9.998246068107475,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,4,adaptive,9640.02991107827,9640.02991107827,0.0,same,0.0,0.0,,same,9527.498496827167,9527.498496827167,0.0,same,4763.749248413584,4763.749248413584,0.0,same,689567.3496595629,689567.3496595629,0.0,same,3.9905517920113596,3.9905517920113596,0.0,same,9.998103228097689,9.998103228097689,0.0,same,0.0,0.0,,same,0.0,0.0,,same
low,4,adaptive_dwell2,9640.02991107827,9640.02991107827,0.0,same,0.0,0.0,,same,9527.498496827167,9527.498496827167,0.0,same,4763.749248413584,4763.749248413584,0.0,same,689567.3496595629,689567.3496595629,0.0,same,3.9905517920113596,3.9905517920113596,0.0,same,9.998103228097689,9.998103228097689,0.0,same,0.0,0.0,,same,0.0,0.0,,same
medium,0,adaptive,14420.073810265269,14420.073810265269,0.0,same,0.0,0.0,,same,14244.031890753495,14232.196654750798,-0.08308908666779512,worse,7122.015945376747,7116.098327375399,-0.08308908666779512,worse,1031376.5013488167,1097764.9493539368,6.436878086547296,worse,5.968614012435282,6.352806419872319,6.4368780865472885,worse,14.999315545779499,20.03814266404643,33.59371367905353,worse,0.0,13.896245508852036,,worse,0.0,0.0,,same
medium,0,adaptive_dwell2,14420.073810265269,14420.073810265269,0.0,same,0.0,0.0,,same,14244.031890753495,14180.288216703619,-0.44751145278785304,worse,7122.015945376747,7090.144108351809,-0.44751145278785304,worse,1031376.5013488167,1310730.8300940671,27.085582072106124,worse,5.968614012435282,7.585247859340666,27.085582072106117,worse,14.999315545779499,25.98482734537526,73.24008729642905,worse,0.0,80.66592693443397,,worse,0.0,0.0,,same
medium,1,adaptive,14310.070179456137,14310.070179456137,0.0,same,0.0,0.0,,same,14148.546404930377,14137.500056076222,-0.07807409000196722,worse,7074.273202465189,7068.750028038111,-0.07807409000196722,worse,1022052.1542534796,1089890.9205407759,6.637505337175933,worse,5.914653670448377,6.30723912349986,6.637505337175928,worse,14.988512358785085,19.859195273010943,32.49610633553668,worse,0.0,8.252128781301124,,worse,0.0,0.0,,same
medium,1,adaptive_dwell2,14310.070179456137,14310.070179456137,0.0,same,0.0,0.0,,same,14148.546404930377,14116.395888968595,-0.22723547028533736,worse,7074.273202465189,7058.197944484297,-0.22723547028533736,worse,1022052.1542534796,1245861.3275590343,21.89801884122322,worse,5.914653670448377,7.209845645596263,21.898018841223212,worse,14.988512358785085,27.18429008977263,81.36749958270102,worse,0.0,29.14374824640327,,worse,0.0,0.0,,same
medium,2,adaptive,14328.064334408075,14328.064334408075,0.0,same,0.0,0.0,,same,14160.741355781736,14149.720024924056,-0.07783018262091505,worse,7080.370677890868,7074.860012462028,-0.07783018262091505,worse,1025374.3198366584,1092479.6696623892,6.544473420830417,worse,5.933879165721403,6.322220310546234,6.544473420830416,worse,14.99659952238423,19.72219741050985,31.511129446859577,worse,0.0,4.801332752240908,,worse,0.0,0.0,,same
medium,2,adaptive_dwell2,14328.064334408075,14328.064334408075,0.0,same,0.0,0.0,,same,14160.741355781736,14125.456555428089,-0.2491733975441958,worse,7080.370677890868,7062.728277714044,-0.2491733975441958,worse,1025374.3198366584,1276309.1506854563,24.472509794157094,worse,5.933879165721403,7.38604832572602,24.472509794157087,worse,14.99659952238423,27.735394018242506,84.94455344255937,worse,0.0,18.731918678891493,,worse,0.0,0.0,,same
medium,3,adaptive,14366.172147617748,14366.172147617748,0.0,same,0.0,0.0,,same,14194.843684782421,14185.195592229375,-0.06796899470890296,worse,7097.421842391211,7092.597796114687,-0.06796899470890296,worse,1028155.5613987766,1094247.012998864,6.428156796639986,worse,5.949974313650327,6.332447991891574,6.428156796639992,worse,14.997369102161212,19.80899349847025,32.08312313668172,worse,0.0,7.7461021869925855,,worse,0.0,0.0,,same
medium,3,adaptive_dwell2,14366.172147617748,14366.172147617748,0.0,same,0.0,0.0,,same,14194.843684782421,14164.29956978898,-0.21517753679940935,worse,7097.421842391211,7082.14978489449,-0.21517753679940935,worse,1028155.5613987766,1284751.002902654,24.956869479438165,worse,5.949974313650327,7.434901637168137,24.95686947943818,worse,14.997369102161212,27.920026274455836,86.16616077304113,worse,0.0,16.122573650504002,,worse,0.0,0.0,,same
medium,4,adaptive,14460.044866617405,14460.044866617405,0.0,same,0.0,0.0,,same,14291.247745240751,14281.250176099693,-0.06995588712250522,worse,7145.623872620376,7140.625088049846,-0.06995588712250522,worse,1034351.0244893443,1109830.4502892327,7.297273750673981,worse,5.985827688017039,6.4226299206552815,7.297273750673973,worse,14.997154842146532,19.510061842532007,30.091754388658064,worse,0.0,6.731827192627545,,worse,0.0,0.0,,same
medium,4,adaptive_dwell2,14460.044866617405,14460.044866617405,0.0,same,0.0,0.0,,same,14291.247745240751,14273.231701214909,-0.12606347847998103,worse,7145.623872620376,7136.615850607454,-0.12606347847998103,worse,1034351.0244893443,1257733.310895643,21.596371165831417,worse,5.985827688017039,7.278549252868304,21.596371165831407,worse,14.997154842146532,26.89265717959154,79.3183938063709,worse,0.0,30.109706087436855,,worse,0.0,0.0,,same
high,0,adaptive,18226.967629376893,18209.681413160044,-0.09483868391245051,worse,999.7974509767978,1017.0836671936445,1.7289718232386109,worse,17776.28229187375,17727.059196696307,-0.27690320377025884,worse,8888.141145936876,8863.529598348154,-0.27690320377025884,worse,2794628.7338939304,3050678.8167474545,9.162221791685132,worse,16.172619987812098,17.654391300621842,9.162221791685127,worse,40.0,40.0,0.0,same,240.6853375031427,272.6222164637373,13.2691418978431,worse,0.0,0.0,,same
high,0,adaptive_dwell2,18226.967629376893,18184.71859267541,-0.23179410618686516,worse,999.7974509767978,1042.0464876782812,4.225759593626318,worse,17776.28229187375,17658.376251674657,-0.6632772717217326,worse,8888.141145936876,8829.188125837329,-0.6632772717217326,worse,2794628.7338939304,3319759.859655064,18.790729494484072,worse,16.172619987812098,19.21157326189273,18.790729494484065,worse,40.0,40.0,0.0,same,240.6853375031427,316.34234100075236,31.433989408109152,worse,0.0,0.0,,same
high,1,adaptive,18210.36410202482,18187.81295686687,-0.12383687130914599,worse,869.7294705833597,892.2806157413139,2.5928919187742774,worse,17770.32189614605,17716.651939421037,-0.3020201718273547,worse,8885.160948073026,8858.325969710519,-0.3020201718273547,worse,2787723.0181773705,3030420.709578994,8.705947105186254,worse,16.132656355193117,17.537156884137698,8.705947105186253,worse,40.0,40.0,0.0,same,230.04220587877282,261.16101744583005,13.527435736490967,worse,0.0,0.0,,same
high,1,adaptive_dwell2,18210.36410202482,18189.455866394754,-0.11481503342233007,worse,869.7294705833597,890.6377062134292,2.4039930044046423,worse,17770.32189614605,17659.148575135416,-0.6256123083214752,worse,8885.160948073026,8829.574287567708,-0.6256123083214752,worse,2787723.0181773705,3399390.562043554,21.941474812160333,worse,16.132656355193117,19.6723990859002,21.941474812160344,worse,40.0,40.0,0.0,same,230.04220587877282,320.307291259338,39.238488883267316,worse,0.0,0.0,,same
high,2,adaptive,18215.948877520175,18184.74044281438,-0.17132478201182605,worse,888.1369016905896,919.345336396389,3.513921631495482,worse,17774.499536522686,17710.890059989048,-0.35786929698321407,worse,8887.249768261343,8855.445029994524,-0.35786929698321407,worse,2790471.4373184256,3012725.5029581217,7.964749707428533,worse,16.148561558555702,17.434754068044686,7.964749707428548,worse,40.0,40.0,0.0,same,231.44934099749173,263.85038282533094,13.999193814161842,worse,0.0,0.0,,same
high,2,adaptive_dwell2,18215.948877520175,18198.465366514934,-0.09597913961438931,worse,888.1369016905896,905.6204126958306,1.9685603618046617,worse,17774.499536522686,17663.72167381654,-0.6232404039197903,worse,8887.249768261343,8831.86083690827,-0.6232404039197903,worse,2790471.4373184256,3367632.497878876,20.683281428427307,worse,16.148561558555702,19.48861399235461,20.68328142842733,worse,40.0,40.0,0.0,same,231.44934099749173,324.74369269839605,40.30875668032918,worse,0.0,0.0,,same
high,3,adaptive,18205.00334644835,18178.465439637188,-0.14577260056554098,worse,949.8928503753137,976.4307571864761,2.7937789826165003,worse,17758.26485250264,17716.692623293882,-0.23410073874926288,worse,8879.13242625132,8858.346311646941,-0.23410073874926288,worse,2808656.5982814184,2972757.2141286256,5.842672826133969,worse,16.253799758573024,17.203456100281397,5.842672826133957,worse,40.0,40.0,0.0,same,236.7384939457076,251.77281634330546,6.350603210750237,worse,0.0,0.0,,same
high,3,adaptive_dwell2,18205.00334644835,18153.67445896365,-0.281949343858332,worse,949.8928503753137,1001.2217378600135,5.4036502605971934,worse,17758.26485250264,17644.290925315625,-0.6418077899708458,worse,8879.13242625132,8822.145462657812,-0.6418077899708458,worse,2808656.5982814184,3308269.046602414,17.788306645486745,worse,16.253799758573024,19.145075501171377,17.788306645486742,worse,40.0,40.0,0.0,same,236.7384939457076,309.3835336480236,30.685774202388927,worse,0.0,0.0,,same
