scenario,candidate,seeds,vehicles_entered_fixed,vehicles_entered_adaptive,vehicles_entered_pct,vehicles_entered_verdict,vehicles_entered_seeds_better,vehicles_entered_seeds_worse,vehicles_rejected_fixed,vehicles_rejected_adaptive,vehicles_rejected_pct,vehicles_rejected_verdict,vehicles_rejected_seeds_better,vehicles_rejected_seeds_worse,vehicles_exited_fixed,vehicles_exited_adaptive,vehicles_exited_pct,vehicles_exited_verdict,vehicles_exited_seeds_better,vehicles_exited_seeds_worse,throughput_per_hour_fixed,throughput_per_hour_adaptive,throughput_per_hour_pct,throughput_per_hour_verdict,throughput_per_hour_seeds_better,throughput_per_hour_seeds_worse,total_waiting_time_fixed,total_waiting_time_adaptive,total_waiting_time_pct,total_waiting_time_verdict,total_waiting_time_seeds_better,total_waiting_time_seeds_worse,average_queue_length_fixed,average_queue_length_adaptive,average_queue_length_pct,average_queue_length_verdict,average_queue_length_seeds_better,average_queue_length_seeds_worse,max_queue_length_fixed,max_queue_length_adaptive,max_queue_length_pct,max_queue_length_verdict,max_queue_length_seeds_better,max_queue_length_seeds_worse,final_queue_total_fixed,final_queue_total_adaptive,final_queue_total_pct,final_queue_total_verdict,final_queue_total_seeds_better,final_queue_total_seeds_worse,total_blocked_fixed,total_blocked_adaptive,total_blocked_pct,total_blocked_verdict,total_blocked_seeds_better,total_blocked_seeds_worse,candidate_plan_switch_rate,candidate_share_NS20/EW40,candidate_share_NS30/EW30,candidate_share_NS40/EW20
low,adaptive,5,9584.590045115285,9584.590045115285,0.0,same,0,0,0.0,0.0,,same,0,0,9471.921477531836,9471.921477531836,0.0,same,0,0,4735.960738765918,4735.960738765918,0.0,same,0,0,685507.9415102768,685507.9415102768,0.0,same,0,0,3.9670598467029903,3.9670598467029903,0.0,same,0,0,9.997193516167542,9.997193516167542,0.0,same,0,0,0.0,0.0,,same,0,0,0.0,0.0,,same,0,0,0.11288515406162465,0.02777777777777778,0.9405555555555555,0.03166666666666666
medium,adaptive,5,14376.885067672925,14376.885067672925,0.0,same,0,0,0.0,0.0,,same,0,0,14207.882216297756,14197.172500816028,-0.07537868993200433,worse,0,5,7103.941108148878,7098.586250408014,-0.07537868993200433,worse,0,5,1028261.9122654151,1096842.6005690398,6.669573917459533,worse,0,5,5.950589770054486,6.347468753293054,6.669573917459512,worse,0,5,14.995790274251311,19.787718137713895,31.955153918700884,worse,0,5,0.0,8.285527284402841,,worse,0,5,0.0,0.0,,same,0,0,0.8666666666666666,0.39333333333333337,0.20861111111111114,0.39805555555555555
high,adaptive,5,18214.929810781956,18190.033541287492,-0.13668056782588908,worse,0,5,954.2502794486094,979.146548943076,2.6089873936272108,worse,0,5,17770.19418353698,17717.538042394124,-0.2963171960812808,worse,0,5,8885.09709176849,8858.769021197062,-0.2963171960812808,worse,0,5,2800273.2609672076,3029504.7772037336,8.186040963636168,worse,0,5,16.20528507504171,17.531856349558645,8.18604096363617,worse,0,5,40.0,40.0,0.0,same,0,0,234.73562724497933,262.49549889336777,11.82601549419558,worse,0,5,0.0,0.0,,same,0,0,0.9941176470588236,0.4883333333333333,0.01972222222222222,0.4919444444444444
ns_heavy,adaptive,5,13817.328514235196,15817.33836543869,14.474649344430077,better,5,0,2010.2307635769278,10.220912373431048,-99.4915552702395,better,5,0,13529.78968902028,15594.675975184407,15.26177666929907,better,5,0,6764.89484451014,7797.337987592204,15.26177666929907,better,5,0,1937743.073522754,1486525.5098901899,-23.285727081055448,better,5,0,11.21379093473816,8.602578182234897,-23.285727081055438,better,5,0,40.0,40.0,0.0,same,0,0,149.57346109528117,68.24443958763273,-54.37396508184048,better,5,0,0.0,0.0,,same,0,0,0.6392156862745099,0.03944444444444444,0.2997222222222222,0.6608333333333334
ew_heavy,adaptive,5,11617.229156338695,12878.717333348744,10.85876984979456,better,5,0,1308.9817011950333,47.49352418498508,-96.37171977716527,better,5,0,11361.773006684407,12604.245133933704,10.935547880760515,better,5,0,5680.8865033422035,6302.122566966852,10.935547880760515,better,5,0,1590129.4631177369,1631587.1149583976,2.6071872009323998,worse,0,5,9.202138096746163,9.442055063416653,2.6071872009324,worse,0,5,40.0,40.0,0.0,same,0,0,98.92008808633867,96.93613784708964,-2.005609050324955,better,2,3,0.0,0.0,,same,0,0,0.7277310924369748,0.6219444444444444,0.30333333333333334,0.07472222222222222
time_varying,adaptive,5,13727.087959281847,14367.881858675788,4.668097860920713,better,5,0,651.8064248931655,11.012525499224868,-98.31046073210618,better,5,0,13558.085107906678,14190.016653888897,4.6609203361151295,better,5,0,6779.042553953339,7095.0083269444485,4.6609203361151295,better,5,0,1422341.0892797871,1331785.0078831674,-6.366692355240438,better,5,0,8.231140562961732,7.707089165990551,-6.366692355240462,better,5,0,40.0,40.0,0.0,same,0,0,0.0,9.052141525309645,,worse,0,5,0.0,0.0,,same,0,0,0.7803921568627451,0.36138888888888887,0.24666666666666667,0.39194444444444443
low,adaptive_dwell2,5,9584.590045115285,9584.590045115285,0.0,same,0,0,0.0,0.0,,same,0,0,9471.921477531836,9471.921477531836,0.0,same,0,0,4735.960738765918,4735.960738765918,0.0,same,0,0,685507.9415102768,685507.9415102768,0.0,same,0,0,3.9670598467029903,3.9670598467029903,0.0,same,0,0,9.997193516167542,9.997193516167542,0.0,same,0,0,0.0,0.0,,same,0,0,0.0,0.0,,same,0,0,0.08431372549019608,0.042499999999999996,0.9125,0.045
medium,adaptive_dwell2,5,14376.885067672925,14376.885067672925,0.0,same,0,0,0.0,0.0,,same,0,0,14207.882216297756,14171.934386420839,-0.2530132874812388,worse,0,5,7103.941108148878,7085.967193210419,-0.2530132874812388,worse,0,5,1028261.9122654151,1275077.124427371,24.00314639858487,worse,0,5,5.950589770054486,7.378918544139879,24.003146398584864,worse,0,5,14.995790274251311,27.143438981487556,81.00705921510853,worse,0,5,0.0,34.954774719533916,,worse,0,5,0.0,0.0,,same,0,0,0.48039215686274506,0.4494444444444444,0.09361111111111112,0.4569444444444445
high,adaptive_dwell2,5,18214.929810781956,18180.695972826783,-0.18794383679100926,worse,0,5,954.2502794486094,988.4841174037865,3.587511441438439,worse,0,5,17770.19418353698,17656.309228717168,-0.6408762540440883,worse,0,5,8885.09709176849,8828.154614358584,-0.6408762540440883,worse,0,5,2800273.2609672076,3362845.118958159,20.089891434260966,worse,0,5,16.20528507504171,19.460909253230085,20.089891434260952,worse,0,5,40.0,40.0,0.0,same,0,0,234.73562724497933,316.38674410961147,34.784288104429,worse,0,5,0.0,0.0,,same,0,0,0.48655462184873954,0.4761111111111111,0.043055555555555555,0.48083333333333333
ns_heavy,adaptive_dwell2,5,13817.328514235196,15678.147947805608,13.46728806261874,better,5,0,2010.2307635769278,149.4113300065154,-92.5674538110909,better,5,0,13529.78968902028,15400.037496711715,13.823184622072752,better,5,0,6764.89484451014,7700.0187483558575,13.823184622072752,better,5,0,1937743.073522754,1787027.7410583138,-7.777880077282107,better,5,0,11.21379093473816,10.341595723717095,-7.777880077282097,better,5,0,40.0,40.0,0.0,same,0,0,149.57346109528117,125.14508697425961,-16.33202437259924,better,4,1,0.0,0.0,,same,0,0,0.3750700280112045,0.05888888888888889,0.32999999999999996,0.611111111111111
ew_heavy,adaptive_dwell2,5,11617.229156338695,11965.776100416662,3.000258834420855,better,5,0,1308.9817011950333,960.4347571170659,-26.627335107875215,better,5,0,11361.773006684407,11642.561856248034,2.471347116320949,better,5,0,5680.8865033422035,5821.280928124017,2.471347116320949,better,5,0,1590129.4631177369,2034825.5762836733,27.966031916296245,worse,0,5,9.202138096746163,11.77561097386385,27.96603191629624,worse,0,5,40.0,40.0,0.0,same,0,0,98.92008808633867,163.6781826006778,65.46505949106866,worse,0,5,0.0,51.03633036102236,,worse,0,5,0.4742296918767507,0.5047222222222223,0.1502777777777778,0.34500000000000003
time_varying,adaptive_dwell2,5,13727.087959281847,14196.469915655438,3.419384779684525,better,5,0,651.8064248931655,182.42446851957385,-72.01247770003583,better,5,0,13558.085107906678,13990.23447606742,3.1873923546085847,better,5,0,6779.042553953339,6995.11723803371,3.1873923546085847,better,5,0,1422341.0892797871,1580743.4047195257,11.136732014115317,worse,0,5,8.231140562961732,9.147820629163922,11.136732014115305,worse,0,5,40.0,40.0,0.0,same,0,0,0.0,37.260430740840164,,worse,0,5,0.0,0.0,,same,0,0,0.45546218487394957,0.36444444444444446,0.18138888888888888,0.4541666666666667
