case,seed,n_assignments,pearson_energy_vs_waiting,spearman_energy_vs_waiting,pearson_energy_vs_avg_queue,spearman_energy_vs_avg_queue,spearman_energy_vs_neg_exited,qubo_choice_rank_by_waiting,qubo_choice_waiting,best_static_waiting,worst_static_waiting,best_static_plans,qubo_gap_to_best_static_pct,energy_rank_of_best_static,short_horizon_pearson,short_horizon_spearman,short_horizon_max_abs_rel_error
balanced_medium,0,729,0.28647759324011646,0.2520123715170656,0.2864775932401165,0.2520123715170656,0.37777370741163707,1,518274.58210520237,518274.58210520237,1895252.553543741,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.999998822975431,1.1161045068202038e-15
balanced_medium,1,729,0.3756568676235272,0.3228353477118757,0.3756568676235273,0.3228353477118757,0.283195355013624,1,513624.5429217737,513624.5429217737,1834377.2013201371,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.9999994579497111,9.340679349376281e-16
balanced_medium,2,729,0.5074026998763368,0.4482200317154034,0.507402699876337,0.4482200317154034,0.5313939354565064,1,514351.10888329695,514351.10888329695,1876502.124037241,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,0.9999999999999999,0.9999956015878813,1.106826714967877e-15
balanced_medium,3,729,0.462876199024497,0.39212288551127067,0.462876199024497,0.39212288551127067,0.48609341150120056,1,518867.1623206496,518867.1623206496,1852634.8967052733,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,2,1.0,0.9999908311617012,8.058334639822421e-16
balanced_medium,4,729,0.4497998555249815,0.3868663460061292,0.4497998555249815,0.3868663460061292,0.5399773304897307,1,523752.6538869913,523752.6538869913,1875707.1921885977,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0000000000000002,0.9999990243059087,1.1573493157345952e-15
ns_heavy,0,729,0.5470352213554015,0.5506704237542562,0.5470352213554015,0.5506704237542562,0.9717173789259753,1,582909.6536482377,582909.6536482377,1307072.4963605695,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,0.0,1,1.0,0.9998007961544223,4.573372413809922e-16
ns_heavy,1,729,0.548750891722533,0.5539016401667242,0.548750891722533,0.5539016401667242,0.9715615004579226,1,582140.8457929504,582140.8457929504,1303913.1372960422,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,0.0,1,1.0,0.9991147143850182,9.142639691817391e-16
ns_heavy,2,729,0.5519637183608703,0.5556524938875496,0.5519637183608702,0.5556524938875496,0.9700446710272677,1,574484.129628161,574484.129628161,1305623.0437107903,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,0.0,1,1.0,0.9988839500966651,9.065913998712366e-16
ns_heavy,3,729,0.5504470224588269,0.5575467538436015,0.5504470224588269,0.5575467538436015,0.9698520291909398,1,574178.1317093237,574178.1317093237,1307073.7979523304,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,0.0,1,0.9999999999999999,0.9982699873754022,8.805370899484939e-16
ns_heavy,4,729,0.5472230913549693,0.5570902510366337,0.5472230913549693,0.5570902510366337,0.9704493546543608,1,592665.2293040261,592665.2293040261,1307328.675716123,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,0.0,1,0.9999999999999999,0.9998041912966968,9.089349174516938e-16
ew_heavy,0,729,0.20410654898828212,0.13649867839914337,0.2041065489882821,0.13649867839914337,0.9659114773327332,1,561578.3941737375,561578.3941737375,1192781.1732116435,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,0.0,1,1.0,0.9990070542493757,9.868250986719957e-16
