case,seed,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,qubo_energy,one_hot_valid,n_variables,n_feasible_evaluated,n_optimal_ties,penalty,penalty_bound_B,full_space_evaluated,full_space_min_is_feasible,full_space_infeasible_at_or_below_optimum
balanced_medium,0,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6598.672768876964,True,18,729,2,5939.796764482767,5938.796764482767,262144,True,0
balanced_medium,1,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6598.92245943315,True,18,729,2,5826.83338561895,5825.83338561895,262144,True,0
balanced_medium,2,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6343.965800722188,True,18,729,2,5528.53602644243,5527.53602644243,262144,True,0
balanced_medium,3,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6465.871318686266,True,18,729,2,5875.825635851554,5874.825635851554,262144,True,0
balanced_medium,4,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,5973.923335601718,True,18,729,2,4896.263487870111,4895.263487870111,262144,True,0
ns_heavy,0,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14748.055140836834,True,18,729,1,14171.534294985198,14170.534294985198,262144,True,0
ns_heavy,1,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14716.535835258532,True,18,729,1,14124.064233614687,14123.064233614687,262144,True,0
ns_heavy,2,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14591.940561257346,True,18,729,1,13784.10747843072,13783.10747843072,262144,True,0
ns_heavy,3,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14743.404863867618,True,18,729,1,14262.227052052896,14261.227052052896,262144,True,0
ns_heavy,4,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14509.853894891465,True,18,729,1,13945.482506341128,13944.482506341128,262144,True,0
ew_heavy,0,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,12902.920529642099,True,18,729,1,17852.263567989758,17851.263567989758,262144,True,0
ew_heavy,1,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,13050.735688906178,True,18,729,1,17890.66116451966,17889.66116451966,262144,True,0
ew_heavy,2,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,13021.844012882153,True,18,729,1,17866.31717486524,17865.31717486524,262144,True,0
ew_heavy,3,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,13037.858872250392,True,18,729,1,17900.91739658027,17899.91739658027,262144,True,0
ew_heavy,4,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,NS20/EW40,12857.441849539173,True,18,729,1,17755.72279034729,17754.72279034729,262144,True,0
time_varying,0,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14748.055140836834,True,18,729,1,14171.534294985198,14170.534294985198,262144,True,0
time_varying,1,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14716.535835258532,True,18,729,1,14124.064233614687,14123.064233614687,262144,True,0
time_varying,2,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14591.940561257346,True,18,729,1,13784.10747843072,13783.10747843072,262144,True,0
time_varying,3,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14743.404863867618,True,18,729,1,14262.227052052896,14261.227052052896,262144,True,0
time_varying,4,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,14509.853894891465,True,18,729,1,13945.482506341128,13944.482506341128,262144,True,0
downstream_congested,0,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,15480.0,True,18,729,4,19861.0,19860.0,262144,True,0
downstream_congested,1,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,15480.0,True,18,729,4,19861.0,19860.0,262144,True,0
downstream_congested,2,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,15480.0,True,18,729,4,19861.0,19860.0,262144,True,0
downstream_congested,3,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,15480.0,True,18,729,4,19861.0,19860.0,262144,True,0
downstream_congested,4,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,15480.0,True,18,729,4,19861.0,19860.0,262144,True,0
