case,seed,n_assignments,pearson_energy_vs_waiting,spearman_energy_vs_waiting,pearson_energy_vs_avg_queue,spearman_energy_vs_avg_queue,spearman_energy_vs_neg_exited,qubo_choice_rank_by_waiting,qubo_choice_waiting,best_static_waiting,worst_static_waiting,best_static_plans,qubo_gap_to_best_static_pct,energy_rank_of_best_static,short_horizon_pearson,short_horizon_spearman,short_horizon_max_abs_rel_error
balanced_medium,0,729,0.34664901994561353,0.3050983626052414,0.3466490199456134,0.3050983626052414,0.4524945626616113,1,518274.58210520237,518274.58210520237,1895252.553543741,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,1.0,8.689824661245559e-16
balanced_medium,1,729,0.47184373175660604,0.4003455358707677,0.471843731756606,0.4003455358707677,0.4098105241382064,1,513624.5429217737,513624.5429217737,1834377.2013201371,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,0.9999997909237271,1.0193980330646149e-15
balanced_medium,2,729,0.50159183101447,0.46400993453698763,0.5015918310144699,0.46400993453698763,0.48853623488305026,1,514351.10888329695,514351.10888329695,1876502.124037241,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,1.0,6.866852403033939e-16
balanced_medium,3,729,0.4398850578091279,0.3798971210859777,0.43988505780912784,0.3798971210859777,0.5163468683194053,1,518867.1623206496,518867.1623206496,1852634.8967052733,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,3,1.0,0.9999739710634928,7.033040536582462e-16
balanced_medium,4,729,0.45026081299058673,0.394131634695742,0.45026081299058673,0.394131634695742,0.5460617357773142,1,523752.6538869913,523752.6538869913,1875707.1921885977,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,0.0,1,1.0,1.0,7.321139423079341e-16
ns_heavy,0,729,0.46312592391717855,0.44642685872688337,0.4631259239171786,0.44642685872688337,0.9269905617975952,91,990031.7559522195,582909.6536482377,1307072.4963605695,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,69.8430879907272,33,1.0,0.9889589108081831,4.649752029052678e-16
ns_heavy,1,729,0.46481283851238353,0.45836962493626077,0.4648128385123835,0.45836962493626077,0.9391670533634939,86,987635.8332371982,582140.8457929504,1303913.1372960422,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,69.65582133167648,1,0.9999999999999999,0.989554000277143,8.973504191152586e-16
ns_heavy,2,729,0.46790742183799233,0.4668782871107242,0.4679074218379922,0.4668782871107242,0.9470687613007164,86,987691.1125156115,574484.129628161,1305623.0437107903,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,71.92661408329968,1,1.0,0.9953075986776959,6.78223759261908e-16
ns_heavy,3,729,0.46674961134799364,0.4637721007122445,0.4667496113479936,0.4637721007122445,0.9407708492247656,94,990241.4217470357,574178.1317093237,1307073.7979523304,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,72.46240618727413,17,0.9999999999999998,0.9852440531598552,6.9767013743175725e-16
ns_heavy,4,729,0.46469009793159055,0.4626221170313188,0.46469009793159044,0.4626221170313188,0.9469722648191711,93,991876.5738407576,592665.2293040261,1307328.675716123,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,67.35865794008704,1,1.0,0.9975289972141076,9.089349174516938e-16
