case,seed,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,qubo_energy,one_hot_valid,n_variables,n_feasible_evaluated,n_optimal_ties,penalty,penalty_bound_B,full_space_evaluated,full_space_min_is_feasible,full_space_infeasible_at_or_below_optimum
balanced_medium,0,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6598.672768876964,True,18,729,2,5771.063745405954,5770.063745405954,262144,True,0
balanced_medium,1,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6598.922459433146,True,18,729,2,5630.26268718862,5629.26268718862,262144,True,0
balanced_medium,2,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6343.9658007221915,True,18,729,8,5418.165224354755,5417.165224354755,262144,True,0
balanced_medium,3,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,6465.871318686266,True,18,729,12,5875.825635851554,5874.825635851554,262144,True,0
balanced_medium,4,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,5973.923335601714,True,18,729,2,4893.775791545026,4892.775791545026,262144,True,0
ns_heavy,0,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15648.055140836834,True,18,729,64,13421.534294985198,13420.534294985198,262144,True,0
ns_heavy,1,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15616.535835258539,True,18,729,64,13374.064233614687,13373.064233614687,262144,True,0
ns_heavy,2,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15491.940561257354,True,18,729,64,13074.809046649238,13073.809046649238,262144,True,0
ns_heavy,3,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15643.40486386761,True,18,729,64,13512.227052052896,13511.227052052896,262144,True,0
ns_heavy,4,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15409.853894891465,True,18,729,64,13195.482506341128,13194.482506341128,262144,True,0
ew_heavy,0,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,13502.920529642099,True,18,729,64,16652.263567989758,16651.263567989758,262144,True,0
ew_heavy,1,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,13650.735688906163,True,18,729,64,16690.66116451966,16689.66116451966,262144,True,0
ew_heavy,2,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,13621.844012882153,True,18,729,64,16666.31717486524,16665.31717486524,262144,True,0
ew_heavy,3,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,13637.858872250392,True,18,729,64,16700.91739658027,16699.91739658027,262144,True,0
ew_heavy,4,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,13457.441849539173,True,18,729,64,16555.72279034729,16554.72279034729,262144,True,0
time_varying,0,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15648.055140836834,True,18,729,64,13421.534294985198,13420.534294985198,262144,True,0
time_varying,1,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15616.535835258539,True,18,729,64,13374.064233614687,13373.064233614687,262144,True,0
time_varying,2,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15491.940561257354,True,18,729,64,13074.809046649238,13073.809046649238,262144,True,0
time_varying,3,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15643.40486386761,True,18,729,64,13512.227052052896,13511.227052052896,262144,True,0
time_varying,4,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,15409.853894891465,True,18,729,64,13195.482506341128,13194.482506341128,262144,True,0
downstream_congested,0,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,16080.0,True,18,729,4,19411.0,19410.0,262144,True,0
downstream_congested,1,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,16080.0,True,18,729,4,19411.0,19410.0,262144,True,0
downstream_congested,2,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,16080.0,True,18,729,4,19411.0,19410.0,262144,True,0
downstream_congested,3,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,16080.0,True,18,729,4,19411.0,19410.0,262144,True,0
downstream_congested,4,NS30/EW30,NS20/EW40,NS20/EW40,NS30/EW30,NS20/EW40,NS20/EW40,16080.0,True,18,729,4,19411.0,19410.0,262144,True,0
