case,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plans,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6
balanced_medium,0,fixed,60,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,,,,,,,,
balanced_medium,0,adaptive,60,7205.289901892303,0.0,7187.44758047995,7187.44758047995,548187.2029158686,6.344759293007739,19.721806114638845,11.47693722845225,0.0,7205.289901892303,17251.520198832488,177.84738971475193,0.38055555555555554,0.23333333333333334,0.3861111111111111,293,0.827683615819209,76.08121399416558,,,,,,,,
balanced_medium,0,qubo_exact,60,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30
balanced_medium,0,qaoa_p1,60,7083.563887055177,121.72601483712671,6986.538662312993,6986.538662312993,757523.5564279467,8.767633754953087,40.0,90.0,230.39715559078255,7205.289901892303,16884.08152292476,178.50723027303476,0.16666666666666666,0.8333333333333334,0.0,0,0.0,106.94102128623126,6598.672768876964,NS20/EW40/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,NS20/EW40,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30
balanced_medium,0,qaoa_p2,60,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30
balanced_medium,0,qaoa_p2_warm,60,7083.563887055177,121.72601483712671,6986.538662312993,6986.538662312993,757523.5564279467,8.767633754953087,40.0,90.0,230.39715559078255,7205.289901892303,16884.08152292476,178.50723027303476,0.16666666666666666,0.8333333333333334,0.0,0,0.0,106.94102128623126,6598.672768876964,NS20/EW40/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,NS20/EW40,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30
ns_heavy,0,fixed,60,6841.531057553657,1085.9191988688624,6837.875579699958,6837.875579699958,990031.7559522195,11.458700879076614,40.0,150.0,0.0,7927.450256422519,15115.10736468622,143.59795785711455,0.0,1.0,0.0,0,0.0,144.70909327512834,,,,,,,,
ns_heavy,0,adaptive,60,7894.94272130878,32.507535113738825,7952.8380077419915,7952.8380077419915,759176.9200134319,8.786769907562869,40.0,68.44923571308935,0.0,7927.450256422519,17385.03222077029,163.59795785711455,0.016666666666666666,0.2861111111111111,0.6972222222222222,200,0.5649717514124294,96.15990220731832,,,,,,,,
ns_heavy,0,qubo_exact,60,7900.000735872146,27.449520550372895,8023.220541961742,8023.220541961742,582909.6536482377,6.746639509817566,40.0,5.494818822980374,0.0,7927.450256422519,17503.427186443514,161.2278550908393,0.0,0.0,1.0,0,0.0,73.78602523432367,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20
ns_heavy,0,qaoa_p1,60,7900.000735872146,27.449520550372895,8023.220541961742,8023.220541961742,582909.6536482377,6.746639509817566,40.0,5.494818822980374,0.0,7927.450256422519,17503.427186443514,161.2278550908393,0.0,0.0,1.0,0,0.0,73.78602523432367,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20
