case,seed,variant,p,n_qubits,shots,optimizer,maxiter,optimizer_iterations,function_evaluations,optimizer_converged,exact_energy,exact_plans,exact_n_optimal_assignments,qaoa_best_feasible_energy,qaoa_plans,qaoa_best_sampled_energy_any,energy_gap,approximation_ratio,optimum_over_qaoa,found_exact_optimum,optimum_probability_sampled,optimum_probability_statevector,uniform_optimum_probability,feasible_rate_sampled,feasible_probability_statevector,uniform_feasible_probability,unique_bitstrings_sampled,unique_feasible_sampled,expected_energy_initial,expected_energy_optimised,mean_energy_of_feasible_samples,mean_energy_of_all_729_feasible,feasible_energy_spread_over_scale,hamiltonian_scale,gammas,betas,logical_depth,logical_gates,basis_depth,basis_gates,basis_cx,optimize_seconds,sample_seconds,total_seconds,random_feasible_samples,random_best_feasible_energy
balanced_medium,0,qaoa_p1,1,18,8192,COBYLA,200,39,39,True,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,2,6598.672768876964,NS20/EW40/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,6598.672768876964,0.0,0.0,1.0,True,0.0006103515625,0.00038076246379232804,7.62939453125e-06,0.1337890625,0.13089300951247113,0.002780914306640625,6576,570,103749.87009599875,18784.04427340443,7359.636870428615,7363.674652630215,0.39570922756304006,4530.229357356953,0.351249,-0.399042,30,121,90,363,134,1.0412107999982254,0.4884726000018418,1.5296834000000672,22,6715.234417825355
balanced_medium,0,qaoa_p2,2,18,8192,COBYLA,200,200,200,False,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,2,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,6598.672768876964,0.0,0.0,1.0,True,0.000244140625,0.00032544456959548166,7.62939453125e-06,0.1109619140625,0.1133111783365425,0.002780914306640625,7180,501,111691.62854984056,29716.206707130616,7351.6330768948665,7363.674652630215,0.39570922756304006,4530.229357356953,0.631863 0.571459,0.338109 0.638699,44,224,132,672,268,5.472081899999466,0.5262221999983012,5.9983040999977675,22,6715.234417825355
balanced_medium,0,qaoa_p2_warm,2,18,8192,COBYLA,200,200,200,False,6598.672768876964,NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,2,6598.672768876964,NS20/EW40/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30/NS30/EW30,6598.672768876964,0.0,0.0,1.0,True,0.000732421875,0.0009323672901624145,7.62939453125e-06,0.293212890625,0.2956678255542371,0.002780914306640625,3876,703,18784.04427340443,12406.31344567352,7344.899817803231,7363.674652630215,0.39570922756304006,4530.229357356953,0.294340 0.841010,-0.421632 -0.180909,44,224,132,672,268,5.4505929999977525,0.3705749000000651,5.821167899997818,22,6715.234417825355
ns_heavy,0,qaoa_p1,1,18,8192,COBYLA,200,33,33,True,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,1,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,14748.055140836834,0.0,0.0,1.0,True,0.0003662109375,0.00018483219268374966,3.814697265625e-06,0.122314453125,0.12527203206901377,0.002780914306640625,6629,541,255742.5335422302,44308.28839219871,17210.578063567198,17235.16754737994,0.4905875394200899,10928.400721238899,0.347448,-0.402205,30,135,90,405,162,0.9352184999988822,0.49406530000123894,1.4292838000001211,22,15648.055140836834
ns_heavy,0,qaoa_p2,2,18,8192,COBYLA,200,200,200,False,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,1,15048.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS30/EW30/NS40/EW20,15048.055140836834,300.0,0.020341665198234226,0.9800638689058314,False,0.0,9.21103520120202e-05,3.814697265625e-06,0.06640625,0.06318163505177767,0.002780914306640625,7637,381,273505.77306813584,81887.81348802627,17180.463125178387,17235.16754737994,0.4905875394200899,10928.400721238899,0.679447 0.528374,0.362005 0.585611,44,252,132,756,324,6.16149249999944,0.5554149000017787,6.716907400001219,22,15648.055140836834
ns_heavy,0,qaoa_p2_warm,2,18,8192,COBYLA,200,29,29,True,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,1,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,14748.055140836834,0.0,0.0,1.0,True,0.0003662109375,0.00018478933984412212,3.814697265625e-06,0.12109375,0.12524350051824837,0.002780914306640625,6613,539,44308.28839219871,44308.288083486346,17211.774199098378,17235.16754737994,0.4905875394200899,10928.400721238899,0.347398 -0.000000,-0.402268 0.000060,44,252,132,756,324,1.1958335000017541,0.5060800999999628,1.701913600001717,22,15648.055140836834
ew_heavy,0,qaoa_p1,1,18,8192,COBYLA,200,36,36,True,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,1,13052.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS30/EW30,13052.920529642099,150.0,0.011625275041832774,0.9885083189115139,False,0.0,0.00019241716083339124,3.814697265625e-06,0.1341552734375,0.1332623591694603,0.002780914306640625,6644,555,296782.2519598022,49703.31801250427,15116.9979464039,15088.2124882146,0.35420865584136746,13426.763567989756,0.351220,-0.391915,18,108,54,324,108,0.9253406999996514,0.4879088000016054,1.4132495000012568,22,13052.920529642113
ew_heavy,0,qaoa_p2,2,18,8192,COBYLA,200,200,200,False,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,1,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,12902.920529642099,0.0,0.0,1.0,True,0.0006103515625,0.00020849285610894706,3.814697265625e-06,0.1507568359375,0.14817889919886346,0.002780914306640625,6912,592,319737.37806515413,75261.4458208467,15102.456259649005,15088.2124882146,0.35420865584136746,13426.763567989756,0.638076 0.576373,0.335067 0.642980,29,198,87,594,216,5.168273800001771,0.5145424999973329,5.682816299999104,22,13052.920529642113
ew_heavy,0,qaoa_p2_warm,2,18,8192,COBYLA,200,200,200,False,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,1,12902.920529642099,NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40/NS20/EW40,12902.920529642099,0.0,0.0,1.0,True,0.00048828125,0.000555853332177864,3.814697265625e-06,0.36328125,0.36202363719578246,0.002780914306640625,3741,715,49703.318012504285,29106.86667033304,15060.65976748445,15088.2124882146,0.35420865584136746,13426.763567989756,0.301856 0.882491,-0.412387 -0.183243,29,198,87,594,216,5.170201200002339,0.3683074000000488,5.5385086000023875,22,13052.920529642113
time_varying,0,qaoa_p1,1,18,8192,COBYLA,200,33,33,True,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,1,14748.055140836834,NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20/NS40/EW20,14748.055140836834,0.0,0.0,1.0,True,0.0003662109375,0.00018483219268374966,3.814697265625e-06,0.122314453125,0.12527203206901377,0.002780914306640625,6629,541,255742.5335422302,44308.28839219871,17210.578063567198,17235.16754737994,0.4905875394200899,10928.400721238899,0.347448,-0.402205,30,135,90,405,162,0.9668362000011257,0.4936128999979701,1.4604490999990958,22,15648.055140836834
