mode,cycle,node,base_plan,final_plan,priority,override_changed_plan,first_phase,emergency_active
A_no_override,38,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,38,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,38,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,38,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,38,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,38,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,39,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,40,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,41,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,42,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,43,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,44,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,45,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,46,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,47,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,48,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,49,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,50,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,51,I6,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I1,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I2,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I3,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I4,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I5,NS30/EW30,NS30/EW30,False,False,,False
A_no_override,52,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,38,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,39,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,40,I1,NS30/EW30,NS20/EW40,True,True,EW,True
B_corridor,40,I2,NS30/EW30,NS20/EW40,True,True,EW,True
B_corridor,40,I3,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,40,I4,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,40,I5,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,40,I6,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,41,I1,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,41,I2,NS30/EW30,NS20/EW40,True,True,EW,True
B_corridor,41,I3,NS30/EW30,NS20/EW40,True,True,EW,True
B_corridor,41,I4,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,41,I5,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,41,I6,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I1,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I2,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I3,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I4,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I5,NS30/EW30,NS30/EW30,False,False,,True
B_corridor,42,I6,NS30/EW30,NS40/EW20,True,True,NS,True
B_corridor,43,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,43,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,43,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,43,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,43,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,43,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,44,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,45,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,46,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,47,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,48,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,49,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,50,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,51,I6,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I1,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I2,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I3,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I4,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I5,NS30/EW30,NS30/EW30,False,False,,False
B_corridor,52,I6,NS30/EW30,NS30/EW30,False,False,,False
