scenario,controller,seeds,seed_list,waiting_seconds_per_admitted_mean,waiting_vehicle_seconds_mean,average_queue_vehicles_mean,max_queue_vehicles_mean,throughput_vehicles_per_hour_mean,vehicles_rejected_mean,blocked_vehicle_cycles_mean,final_queue_vehicles_mean,fuel_liters_proxy_mean,co2_kg_proxy_mean,fuel_liters_proxy_per_admitted_mean,co2_kg_proxy_per_admitted_mean,plan_change_rate_mean,ns_green_share_mean,phase_utilization_ns_mean,phase_utilization_ew_mean,waiting_seconds_per_admitted_pct_vs_fixed_of_means,waiting_vehicle_seconds_pct_vs_fixed_of_means,average_queue_vehicles_pct_vs_fixed_of_means,max_queue_vehicles_pct_vs_fixed_of_means,throughput_vehicles_per_hour_pct_vs_fixed_of_means,vehicles_rejected_pct_vs_fixed_of_means,blocked_vehicle_cycles_pct_vs_fixed_of_means,final_queue_vehicles_pct_vs_fixed_of_means,fuel_liters_proxy_pct_vs_fixed_of_means,co2_kg_proxy_pct_vs_fixed_of_means,fuel_liters_proxy_per_admitted_pct_vs_fixed_of_means,co2_kg_proxy_per_admitted_pct_vs_fixed_of_means,seeds_waiting_per_admitted_better_than_fixed,seeds_waiting_per_admitted_worse_than_fixed
balanced_medium,fixed,5,0 1 2 3 4,71.96676464148725,517774.01002358284,5.992754745643319,14.99043675950011,7195.000672238672,0.0,0.0,0.0,86.29566833726379,202.5960841974447,0.011994460773581208,0.028159359926274323,0.0,0.5,0.8009044675851082,0.7971634645864433,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,0
balanced_medium,adaptive,5,0 1 2 3 4,76.5303790656117,550616.2324651055,6.372873060938721,19.693198179203637,7186.661456395459,0.0,0.0,9.234436044429343,91.76937207751759,215.44668220774437,0.01275506317760195,0.029945023930677477,0.8293785310734464,0.5002777777777778,0.7996044506466673,0.796658995737998,6.341280515886398,6.342964653638522,6.342964653638537,31.371743833435524,-0.11590291958400523,,,,6.34296465363855,6.342964653638532,6.341280515886391,6.341280515886391,0,5
balanced_medium,qubo_static,5,0 1 2 3 4,71.96676464148725,517774.01002358284,5.992754745643319,14.99043675950011,7195.000672238672,0.0,0.0,0.0,86.29566833726379,202.5960841974447,0.011994460773581208,0.028159359926274323,0.0,0.5,0.8009044675851082,0.7971634645864433,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,0
balanced_medium,qubo_receding,5,0 1 2 3 4,71.96676464148725,517774.01002358284,5.992754745643319,14.99043675950011,7195.000672238672,0.0,0.0,0.0,86.29566833726379,202.5960841974447,0.011994460773581208,0.028159359926274323,0.0,0.5,0.8009044675851082,0.7971634645864433,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,0
balanced_medium,qaoa_p1_saved,1,0,106.94102128623126,757523.5564279467,8.767633754953087,40.0,6986.538662312993,121.72601483712671,230.39715559078255,90.0,126.25392607132443,296.4059671759769,0.01782350354770521,0.04184418633078788,0.0,0.4722222222222222,0.8092026268188541,0.7570363797695115,48.674291075946115,46.162590754678405,46.16259075467842,166.7397320552926,-2.9182295729886834,,,,46.1625907546784,46.1625907546784,48.674291075946094,48.674291075946094,0,1
ns_heavy,fixed,5,0 1 2 3 4,144.79532109545715,989495.3394585645,11.452492354844496,40.0,6834.762291253038,1087.845754466842,0.0,147.57773196740172,164.91588990976075,387.1725448266433,0.024132553515909528,0.05665592419888974,0.0,0.5,1.0,0.39858173229322164,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
ns_heavy,adaptive,5,0 1 2 3 4,97.52207832808388,770270.3100934464,8.915165626081555,40.0,7966.966722858966,23.056916109561854,0.0,61.51825679000673,128.3783850155744,301.39355312827695,0.016253679721347315,0.03815871559711232,0.5677966101694916,0.6132407407407408,0.989055727422181,0.5153875379771021,-32.64832206574418,-22.155236171710968,-22.155236171710975,0.0,16.565381257734387,-97.8804976702913,,-58.314675276622744,-22.15523617171097,-22.155236171710964,-32.64832206574418,-32.64832206574419,5,0
ns_heavy,qubo_static,5,0 1 2 3 4,73.56211161026125,581275.5980165398,6.727726828895136,40.0,8034.641031223515,19.97372000308186,0.0,2.6470408112937625,96.87926633608996,227.44316577866698,0.012260351935043542,0.028783591816158395,0.0,0.6666666666666666,0.9175473239993297,0.5978725984398325,-49.19579510323749,-41.255347565901204,-41.255347565901204,0.0,17.555529934172732,-98.16391984607496,,-98.20634131179192,-41.255347565901204,-41.2553475659012,-49.19579510323749,-49.195795103237494,5,0
ns_heavy,qubo_receding,5,0 1 2 3 4,83.21057564935913,657476.254035434,7.609678866150856,40.0,8007.8562088762865,20.292435666482582,0.0,25.60401755360481,109.57937567257234,257.25917473979905,0.01386842927489319,0.0325588702098191,0.3542372881355932,0.6300925925925925,0.9671244058178374,0.5388093129516967,-42.532275891358346,-33.554385976674325,-33.554385976674325,0.0,17.163638874822986,-98.1346219734591,,-82.65048716207372,-33.55438597667431,-33.554385976674304,-42.532275891358346,-42.53227589135834,5,0
ns_heavy,qaoa_p1_saved,1,0,73.78602523432367,582909.6536482377,6.746639509817566,40.0,8023.220541961742,27.449520550372895,0.0,5.494818822980374,97.15160894137294,228.08254370404353,0.012297670872387277,0.028871205374497173,0.0,0.6666666666666666,0.9158555431775912,0.59932046731753,-49.010788773281924,-41.122125614284855,-41.122125614284855,0.0,17.334988746808943,-97.4722317665103,,-96.33678745134642,-41.12212561428486,-41.122125614284855,-49.010788773281924,-49.010788773281924,1,0
